Location,Sub-Region,alpha3 / M49,Sub-Region M49 Code,2022 Population,World Bank Lending Group 2026
Afghanistan,Southern Asia,afg,034,"41,128,771",Low income
Åland Islands,Northern Europe,ala,154,,
Albania,Southern Europe,alb,039,"2,777,689",Upper middle income
Algeria,Northern Africa,dza,015,"44,903,225",Upper middle income
American Samoa,Polynesia,asm,061,"44,273",High income
Andorra,Southern Europe,and,039,"79,824",High income
Angola,Central Africa,ago,017,"35,588,987",Lower middle income
Anguilla,Caribbean,aia,029,,
Antarctica,Antarctica,ata,010,,
Antigua and Barbuda,Caribbean,atg,029,"93,763",High income
Argentina,South America,arg,005,"46,234,830",Upper middle income
Armenia,Middle East,arm,145,"2,780,469",Upper middle income
Aruba,Caribbean,abw,029,"106,445",High income
Australia,Australasia,aus,053,"26,005,540",High income
Austria,Western Europe,aut,155,"9,041,851",High income
Azerbaijan,Middle East,aze,145,"10,141,756",Upper middle income
Bahamas,Caribbean,bhs,029,"409,984",High income
Bahrain,Middle East,bhr,145,"1,472,233",High income
Bangladesh,Southern Asia,bgd,034,"171,186,372",Lower middle income
Barbados,Caribbean,brb,029,"281,635",High income
Belarus,Eastern Europe,blr,151,"9,228,071",Upper middle income
Belgium,Western Europe,bel,155,"11,685,814",High income
Belize,Central America,blz,013,"405,272",Upper middle income
Benin,West Africa,ben,011,"13,352,864",Lower middle income
Bermuda,Northern America,bmu,021,"63,532",High income
Bhutan,Southern Asia,btn,034,"782,455",Lower middle income
Bolivia,South America,bol,005,"12,224,110",Lower middle income
"Bonaire, Sint Eustatius and Saba",Caribbean,bes,029,,
Bosnia and Herzegovina,Southern Europe,bih,039,"3,233,526",Upper middle income
Botswana,Southern Africa,bwa,018,"2,630,296",Upper middle income
Bouvet Island,South America,bvt,005,,
Brazil,South America,bra,005,"215,313,498",Upper middle income
British Indian Ocean Territory,Eastern Africa,iot,014,,
Brunei Darussalam,Southeastern Asia,brn,035,"449,002",High income
Bulgaria,Eastern Europe,bgr,151,"6,465,097",High income
Burkina Faso,West Africa,bfa,011,"22,673,762",Low income
Burundi,Eastern Africa,bdi,014,"12,889,576",Low income
Cabo Verde,West Africa,cpv,011,"593,149",Upper middle income
Cambodia,Southeastern Asia,khm,035,"16,767,842",Lower middle income
Cameroon,Central Africa,cmr,017,"27,914,536",Lower middle income
Canada,Northern America,can,021,"38,929,902",High income
Cayman Islands,Caribbean,cym,029,"68,706",High income
Central African Republic,Central Africa,caf,017,"5,579,144",Low income
Chad,Central Africa,tcd,017,"17,723,315",Low income
Chile,South America,chl,005,"19,603,733",High income
China,Eastern Asia,chn,030,"1,412,175,000",Upper middle income
Christmas Island,Australasia,cxr,053,,
Cocos (Keeling) Islands,Australasia,cck,053,,
Colombia,South America,col,005,"51,874,024",Upper middle income
Comoros,Eastern Africa,com,014,"836,774",Lower middle income
Congo,Central Africa,cog,017,"5,970,424",Lower middle income
Congo (Democratic Republic of the),Central Africa,cod,017,"99,010,212",Low income
Cook Islands,Polynesia,cok,061,,
Costa Rica,Central America,cri,013,"5,180,829",High income
Côte d'Ivoire,West Africa,civ,011,"28,160,542",Lower middle income
Croatia,Southern Europe,hrv,039,"3,855,600",High income
Cuba,Caribbean,cub,029,"11,212,191",Upper middle income
Curaçao,Caribbean,cuw,029,"149,996",High income
Cyprus,Middle East,cyp,145,"1,251,488",High income
Czechia,Eastern Europe,cze,151,"10,672,118",High income
Denmark,Northern Europe,dnk,154,"5,903,037",High income
Djibouti,Eastern Africa,dji,014,"1,120,849",Lower middle income
Dominica,Caribbean,dma,029,"72,737",Upper middle income
Dominican Republic,Caribbean,dom,029,"11,228,821",Upper middle income
Ecuador,South America,ecu,005,"18,001,000",Upper middle income
Egypt,Northern Africa,egy,015,"110,990,103",Lower middle income
El Salvador,Central America,slv,013,"6,336,392",Upper middle income
Equatorial Guinea,Central Africa,gnq,017,"1,674,908",Upper middle income
Eritrea,Eastern Africa,eri,014,"3,684,032",Low income
Estonia,Northern Europe,est,154,"1,348,840",High income
Eswatini,Southern Africa,swz,018,"1,201,670",Lower middle income
Ethiopia,Eastern Africa,eth,014,"123,379,924",
Falkland Islands (Malvinas),South America,flk,005,,
Faroe Islands,Northern Europe,fro,154,"53,090",High income
Fiji,Melanesia,fji,054,"929,766",Upper middle income
Finland,Northern Europe,fin,154,"5,556,106",High income
France,Western Europe,fra,155,"67,971,311",High income
French Guiana,South America,guf,005,,
French Polynesia,Polynesia,pyf,061,"306,279",High income
French Southern Territories,Eastern Africa,atf,014,,
Gabon,Central Africa,gab,017,"2,388,992",Upper middle income
Gambia,West Africa,gmb,011,"2,705,992",Low income
Georgia,Middle East,geo,145,"3,712,502",Upper middle income
Germany,Western Europe,deu,155,"83,797,985",High income
Ghana,West Africa,gha,011,"33,475,870",Lower middle income
Gibraltar,Southern Europe,gib,039,"32,649",High income
Greece,Southern Europe,grc,039,"10,426,919",High income
Greenland,Northern America,grl,021,"56,661",High income
Grenada,Caribbean,grd,029,"125,438",Upper middle income
Guadeloupe,Caribbean,glp,029,,
Guam,Micronesia,gum,057,"171,774",High income
Guatemala,Central America,gtm,013,"17,357,886",Upper middle income
Guernsey,Northern Europe,ggy,154,,
Guinea,West Africa,gin,011,"13,859,341",Lower middle income
Guinea-Bissau,West Africa,gnb,011,"2,105,566",Low income
Guyana,South America,guy,005,"808,726",High income
Haiti,Caribbean,hti,029,"11,584,996",Lower middle income
Heard Island and McDonald Islands,Australasia,hmd,053,,
Holy See (Vatican City),Western Europe,vat,155,,
Honduras,Central America,hnd,013,"10,432,860",Lower middle income
Hong Kong,Eastern Asia,hkg,030,"7,346,100",High income
Hungary,Eastern Europe,hun,151,"9,643,048",High income
Iceland,Northern Europe,isl,154,"382,003",High income
India,Southern Asia,ind,034,"1,417,173,173",Lower middle income
Indonesia,Southeastern Asia,idn,035,"275,501,339",Upper middle income
Iran (Islamic Republic of),Middle East,irn,145,"88,550,570",Upper middle income
Iraq,Middle East,irq,145,"44,496,122",Upper middle income
Ireland,Northern Europe,irl,154,"5,127,170",High income
Isle of Man,Northern Europe,imn,154,"84,519",High income
Israel,Middle East,isr,145,"9,557,500",High income
Italy,Southern Europe,ita,039,"58,940,425",High income
Jamaica,Caribbean,jam,029,"2,827,377",Upper middle income
Japan,Eastern Asia,jpn,030,"125,124,989",High income
Jersey,Northern Europe,jey,154,,
Jordan,Middle East,jor,145,"11,285,869",Lower middle income
Kazakhstan,Central Asia,kaz,143,"19,621,972",Upper middle income
Kenya,Eastern Africa,ken,014,"54,027,487",Lower middle income
Kiribati,Micronesia,kir,057,"131,232",Lower middle income
Korea (Democratic People's Republic of) (North Korea),Eastern Asia,prk,030,"26,069,416",Low income
Korea (Republic of) (South Korea),Eastern Asia,kor,030,"51,628,117",High income
Kuwait,Middle East,kwt,145,"4,268,873",High income
Kyrgyzstan,Central Asia,kgz,143,"6,974,900",Lower middle income
Laos,Southeastern Asia,lao,035,"7,529,475",Lower middle income
Latvia,Northern Europe,lva,154,"1,879,383",High income
Lebanon,Middle East,lbn,145,"5,489,739",Lower middle income
Lesotho,Southern Africa,lso,018,"2,305,825",Lower middle income
Liberia,West Africa,lbr,011,"5,302,681",Low income
Libya,Northern Africa,lby,015,"6,812,341",Upper middle income
Liechtenstein,Western Europe,lie,155,"39,327",High income
Lithuania,Northern Europe,ltu,154,"2,831,639",High income
Luxembourg,Western Europe,lux,155,"653,103",High income
Macao,Eastern Asia,mac,030,"695,168",High income
Madagascar,Eastern Africa,mdg,014,"29,611,714",Low income
Malawi,Eastern Africa,mwi,014,"20,405,317",Low income
Malaysia,Southeastern Asia,mys,035,"33,938,221",Upper middle income
Maldives,Southern Asia,mdv,034,"523,787",Upper middle income
Mali,West Africa,mli,011,"22,593,590",Low income
Malta,Southern Europe,mlt,039,"531,113",High income
Marshall Islands,Micronesia,mhl,057,"41,569",Upper middle income
Martinique,Caribbean,mtq,029,,
Mauritania,West Africa,mrt,011,"4,736,139",Lower middle income
Mauritius,Eastern Africa,mus,014,"1,262,523",Upper middle income
Mayotte,Eastern Africa,myt,014,,
Mexico,Central America,mex,013,"127,504,125",Upper middle income
Micronesia (Federated States of),Micronesia,fsm,057,"114,164",Lower middle income
Moldova,Eastern Europe,mda,151,"2,538,894",Upper middle income
Monaco,Western Europe,mco,155,"36,469",High income
Mongolia,Eastern Asia,mng,030,"3,398,366",Upper middle income
Montenegro,Southern Europe,mne,039,"617,213",Upper middle income
Montserrat,Caribbean,msr,029,,
Morocco,Northern Africa,mar,015,"37,457,971",Lower middle income
Mozambique,Eastern Africa,moz,014,"32,969,518",Low income
Myanmar,Southeastern Asia,mmr,035,"54,179,306",Lower middle income
Namibia,Southern Africa,nam,018,"2,567,012",Lower middle income
Nauru,Micronesia,nru,057,"12,668",High income
Nepal,Southern Asia,npl,034,"30,547,580",Lower middle income
Netherlands,Western Europe,nld,155,"17,700,982",High income
New Caledonia,Melanesia,ncl,054,"269,220",High income
New Zealand,Australasia,nzl,053,"5,124,100",High income
Nicaragua,Central America,nic,013,"6,948,392",Lower middle income
Niger,West Africa,ner,011,"26,207,977",Low income
Nigeria,West Africa,nga,011,"218,541,212",Lower middle income
Niue,Polynesia,niu,061,,
Norfolk Island,Australasia,nfk,053,,
North Macedonia,Southern Europe,mkd,039,"2,057,679",Upper middle income
Northern Mariana Islands,Micronesia,mnp,057,"49,551",High income
Norway,Northern Europe,nor,154,"5,457,127",High income
Oman,Middle East,omn,145,"4,576,298",High income
Pakistan,Southern Asia,pak,034,"235,824,862",Lower middle income
Palau,Micronesia,plw,057,"18,055",High income
Palestine,Middle East,pse,145,"5,043,612",Lower middle income
Panama,Central America,pan,013,"4,408,581",High income
Papua New Guinea,Melanesia,png,054,"10,142,619",Lower middle income
Paraguay,South America,pry,005,"6,780,744",Upper middle income
Peru,South America,per,005,"34,049,588",Upper middle income
Philippines,Southeastern Asia,phl,035,"115,559,009",Lower middle income
Pitcairn,Polynesia,pcn,061,,
Poland,Eastern Europe,pol,151,"36,821,749",High income
Portugal,Southern Europe,prt,039,"10,409,704",High income
Puerto Rico,Caribbean,pri,029,"3,221,789",High income
Qatar,Middle East,qat,145,"2,695,122",High income
Réunion,Eastern Africa,reu,014,,
Romania,Eastern Europe,rou,151,"19,047,009",High income
Russian Federation,Eastern Europe,rus,151,"144,236,933",High income
Rwanda,Eastern Africa,rwa,014,"13,776,698",Low income
Saint Barthélemy,Caribbean,blm,029,,
"Saint Helena, Ascension and Tristan da Cunha",West Africa,shn,011,,
Saint Kitts and Nevis,Caribbean,kna,029,"47,657",High income
Saint Lucia,Caribbean,lca,029,"179,857",Upper middle income
Saint Martin (French part),Caribbean,maf,029,"31,791",High income
Saint Pierre and Miquelon,Northern America,spm,021,,
Saint Vincent and the Grenadines,Caribbean,vct,029,"103,948",Upper middle income
Samoa,Polynesia,wsm,061,"222,382",Upper middle income
San Marino,Southern Europe,smr,039,"33,660",High income
Sao Tome and Principe,Central Africa,stp,017,"227,380",Lower middle income
Saudi Arabia,Middle East,sau,145,"36,408,820",High income
Senegal,West Africa,sen,011,"17,316,449",Lower middle income
Serbia,Southern Europe,srb,039,"6,664,449",Upper middle income
Seychelles,Eastern Africa,syc,014,"119,878",High income
Sierra Leone,West Africa,sle,011,"8,605,718",Low income
Singapore,Southeastern Asia,sgp,035,"5,637,022",High income
Sint Maarten (Dutch part),Caribbean,sxm,029,"42,848",High income
Slovakia,Eastern Europe,svk,151,"5,431,752",High income
Slovenia,Southern Europe,svn,039,"2,111,986",High income
Solomon Islands,Melanesia,slb,054,"724,273",Lower middle income
Somalia,Eastern Africa,som,014,"17,597,511",Low income
South Africa,Southern Africa,zaf,018,"59,893,885",Upper middle income
South Georgia and the South Sandwich Islands,South America,sgs,005,,
South Sudan,Eastern Africa,ssd,014,"10,913,164",Low income
Spain,Southern Europe,esp,039,"47,778,340",High income
Sri Lanka,Southern Asia,lka,034,"22,181,000",Lower middle income
Sudan,Northern Africa,sdn,015,"46,874,204",Low income
Suriname,South America,sur,005,"618,040",Upper middle income
Svalbard and Jan Mayen,Northern Europe,sjm,154,,
Sweden,Northern Europe,swe,154,"10,486,941",High income
Switzerland,Western Europe,che,155,"8,775,760",High income
Syrian Arab Republic,Middle East,syr,145,"22,125,249",Low income
Taiwan,Eastern Asia,twn,030,,High income
Tajikistan,Central Asia,tjk,143,"9,952,787",Lower middle income
Tanzania,Eastern Africa,tza,014,"65,497,748",Lower middle income
Thailand,Southeastern Asia,tha,035,"71,697,030",Upper middle income
Timor-Leste,Southeastern Asia,tls,035,"1,341,296",Lower middle income
Togo,West Africa,tgo,011,"8,848,699",Low income
Tokelau,Polynesia,tkl,061,,
Tonga,Polynesia,ton,061,"106,858",Upper middle income
Trinidad and Tobago,Caribbean,tto,029,"1,531,044",High income
Tunisia,Northern Africa,tun,015,"12,356,117",Lower middle income
Turkey,Middle East,tur,145,"84,979,913",Upper middle income
Turkmenistan,Central Asia,tkm,143,"6,430,770",Upper middle income
Turks and Caicos Islands,Caribbean,tca,029,"45,703",High income
Tuvalu,Polynesia,tuv,061,"11,312",Upper middle income
Uganda,Eastern Africa,uga,014,"47,249,585",Low income
Ukraine,Eastern Europe,ukr,151,"38,000,000",Upper middle income
United Arab Emirates,Middle East,are,145,"9,441,129",High income
United Kingdom of Great Britain and Northern Ireland,Northern Europe,gbr,154,"66,971,395",High income
United States Minor Outlying Islands,Micronesia,umi,057,,
United States of America,Northern America,usa,021,"333,287,557",High income
Uruguay,South America,ury,005,"3,422,794",High income
Uzbekistan,Central Asia,uzb,143,"35,648,100",Lower middle income
Vanuatu,Melanesia,vut,054,"326,740",Lower middle income
Venezuela (Bolivarian Republic of),South America,ven,005,"28,301,696",
Vietnam,Southeastern Asia,vnm,035,"98,186,856",Lower middle income
Virgin Islands (British),Caribbean,vgb,029,"31,305",High income
Virgin Islands (U.S.),Caribbean,vir,029,"105,413",High income
Wallis and Futuna,Polynesia,wlf,061,,
Western Sahara,Northern Africa,esh,015,,
Yemen,Middle East,yem,145,"33,696,614",Low income
Zambia,Southern Africa,zmb,018,"20,017,675",Lower middle income
Zimbabwe,Southern Africa,zwe,018,"16,320,537",Lower middle income
N/A,N/A,xxx,000,,
Kosovo,Southern Europe,xkx,039,"1,761,985",Upper middle income
